
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:FA:C4:F2:FE:98, 2025-08-17 05:03:24, 2025-08-17 05:03:34,  1, 360, WPA2, CCMP, PSK, -77,       16,        0,   0.  0.  0.  0,  12, TP-Link_FE98, 
52:FE:53:A0:0F:07, 2025-08-17 05:03:24, 2025-08-17 05:03:25,  1, 180, WPA2, CCMP, PSK, -84,        3,        0,   0.  0.  0.  0,  18, HUAWEI Mate 20 Pro, 
5C:62:8B:18:25:17, 2025-08-17 05:03:24, 2025-08-17 05:03:34,  1, 360, WPA2, CCMP, PSK, -78,       16,        0,   0.  0.  0.  0,  12, TP-Link_2517, 
62:62:8B:18:25:17, 2025-08-17 05:03:24, 2025-08-17 05:03:34,  1, 360, WPA2, CCMP, PSK, -71,       15,        0,   0.  0.  0.  0,   0, , 
66:62:8B:18:25:17, 2025-08-17 05:03:24, 2025-08-17 05:03:31,  1, 360, WPA2, CCMP, PSK, -73,       17,        0,   0.  0.  0.  0,   0, , 
F4:CB:52:1B:54:CA, 2025-08-17 05:03:25, 2025-08-17 05:03:34, 13, 130, WPA2 WPA, CCMP TKIP, PSK, -82,        9,        0,   0.  0.  0.  0,  12, WLAN1-001847, 
B0:C1:9E:B1:01:A0, 2025-08-17 05:03:25, 2025-08-17 05:03:34, 11, 195, WPA2, CCMP, PSK, -29,       30,       28,   0.  0.  0.  0,  15, ZTE_B101A0_2.4G, 
78:8C:B5:FF:B3:66, 2025-08-17 05:03:26, 2025-08-17 05:03:34,  8, 360, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,   0, , 
7A:BC:B5:FF:B3:66, 2025-08-17 05:03:26, 2025-08-17 05:03:34,  8, 360, OPN, ,   , -81,        1,        0,   0.  0.  0.  0,   9, Deco_B364, 
02:70:64:26:02:8B, 2025-08-17 05:03:28, 2025-08-17 05:03:33, 11, 130, WPA2, CCMP, PSK, -85,        5,        0,   0.  0.  0.  0,  23, Laisvas Internetas_0226, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A8:6B:AD:11:49:63, 2025-08-17 05:03:28, 2025-08-17 05:03:33, -68,       28, B0:C1:9E:B1:01:A0,

